------Mass density on XY plane (unit:g/cm^3)------
dx = 2.000, dy = 2.000, dz = 72.000
xpos   ypos   zpos   massDensity
7.000 21.000 36.000 0.000000
7.000 23.000 36.000 0.000000
7.000 25.000 36.000 0.000000
7.000 27.000 36.000 0.000000
7.000 29.000 36.000 0.000000
7.000 31.000 36.000 0.000000
7.000 33.000 36.000 0.000000
7.000 35.000 36.000 0.000000
7.000 37.000 36.000 0.000000
7.000 39.000 36.000 0.000000
7.000 41.000 36.000 0.000000
7.000 43.000 36.000 0.000000
7.000 45.000 36.000 0.000000
7.000 47.000 36.000 0.000000
7.000 49.000 36.000 0.000000
7.000 51.000 36.000 0.000000
7.000 53.000 36.000 0.000000
7.000 55.000 36.000 0.000000
7.000 57.000 36.000 0.000000
7.000 59.000 36.000 0.000000
7.000 61.000 36.000 0.000000
7.000 63.000 36.000 0.000000
7.000 65.000 36.000 0.000000
7.000 67.000 36.000 0.000000
7.000 69.000 36.000 0.000000
7.000 71.000 36.000 0.000000
7.000 73.000 36.000 0.000000
7.000 75.000 36.000 0.000000
7.000 77.000 36.000 0.000000
7.000 79.000 36.000 0.000000
7.000 81.000 36.000 0.000000
7.000 83.000 36.000 0.000000
7.000 85.000 36.000 0.000000
7.000 87.000 36.000 0.000000
7.000 89.000 36.000 0.000000
7.000 91.000 36.000 0.000000
7.000 93.000 36.000 0.000000
7.000 95.000 36.000 0.000000
7.000 97.000 36.000 0.000000
7.000 99.000 36.000 0.000000
7.000 101.000 36.000 0.000000
7.000 103.000 36.000 0.000000
7.000 105.000 36.000 0.000000
7.000 107.000 36.000 0.000000
7.000 109.000 36.000 0.000000
7.000 111.000 36.000 0.000000
7.000 113.000 36.000 0.000000
7.000 115.000 36.000 0.000000
9.000 1.000 36.000 0.000000
9.000 3.000 36.000 0.000000
9.000 5.000 36.000 0.000000
9.000 7.000 36.000 0.000000
9.000 9.000 36.000 0.000000
9.000 11.000 36.000 0.000000
9.000 13.000 36.000 0.000000
9.000 15.000 36.000 0.000000
9.000 17.000 36.000 0.000000
9.000 19.000 36.000 0.000000
9.000 21.000 36.000 0.000000
9.000 23.000 36.000 0.000000
9.000 25.000 36.000 0.000000
9.000 27.000 36.000 0.000000
9.000 29.000 36.000 0.000000
9.000 31.000 36.000 0.000000
9.000 33.000 36.000 0.000000
9.000 35.000 36.000 0.000000
9.000 37.000 36.000 0.000000
9.000 39.000 36.000 0.000000
9.000 41.000 36.000 0.000000
9.000 43.000 36.000 0.000000
9.000 45.000 36.000 0.000000
9.000 47.000 36.000 0.000000
9.000 49.000 36.000 0.000000
9.000 51.000 36.000 0.000000
9.000 53.000 36.000 0.000000
9.000 55.000 36.000 0.000000
9.000 57.000 36.000 0.000000
9.000 59.000 36.000 0.000000
9.000 61.000 36.000 0.000000
9.000 63.000 36.000 0.000000
9.000 65.000 36.000 0.000000
9.000 67.000 36.000 0.000000
9.000 69.000 36.000 0.000000
9.000 71.000 36.000 0.000000
9.000 73.000 36.000 0.000000
9.000 75.000 36.000 0.000000
9.000 77.000 36.000 0.000000
9.000 79.000 36.000 0.000000
9.000 81.000 36.000 0.000000
9.000 83.000 36.000 0.000000
9.000 85.000 36.000 0.000000
9.000 87.000 36.000 0.000000
9.000 89.000 36.000 0.000000
9.000 91.000 36.000 0.000000
9.000 93.000 36.000 0.000000
9.000 95.000 36.000 0.000000
9.000 97.000 36.000 0.000000
9.000 99.000 36.000 0.000000
9.000 101.000 36.000 0.000000
9.000 103.000 36.000 0.000000
9.000 105.000 36.000 0.000000
9.000 107.000 36.000 0.000000
9.000 109.000 36.000 0.000000
9.000 111.000 36.000 0.000000
9.000 113.000 36.000 0.000000
9.000 115.000 36.000 0.000000
11.000 1.000 36.000 0.000000
11.000 3.000 36.000 0.000000
11.000 5.000 36.000 0.000000
11.000 7.000 36.000 0.000000
11.000 9.000 36.000 0.000000
11.000 11.000 36.000 0.000000
11.000 13.000 36.000 0.000000
11.000 15.000 36.000 0.000000
11.000 17.000 36.000 0.000000
11.000 19.000 36.000 0.000000
11.000 21.000 36.000 0.000000
11.000 23.000 36.000 0.000000
11.000 25.000 36.000 0.000000
11.000 27.000 36.000 0.000000
11.000 29.000 36.000 0.000000
11.000 31.000 36.000 0.000000
11.000 33.000 36.000 0.000000
11.000 35.000 36.000 0.000000
11.000 37.000 36.000 0.000000
11.000 39.000 36.000 0.000000
11.000 41.000 36.000 0.000000
11.000 43.000 36.000 0.000000
11.000 45.000 36.000 0.000000
11.000 47.000 36.000 0.000000
11.000 49.000 36.000 0.000000
11.000 51.000 36.000 0.000000
11.000 53.000 36.000 0.000000
11.000 55.000 36.000 0.000000
11.000 57.000 36.000 0.000000
11.000 59.000 36.000 0.000000
11.000 61.000 36.000 0.000000
11.000 63.000 36.000 0.000000
11.000 65.000 36.000 0.000000
11.000 67.000 36.000 0.000000
11.000 69.000 36.000 0.000000
11.000 71.000 36.000 0.000000
11.000 73.000 36.000 0.000000
11.000 75.000 36.000 0.000000
11.000 77.000 36.000 0.000000
11.000 79.000 36.000 0.000000
11.000 81.000 36.000 0.000000
11.000 83.000 36.000 0.000000
11.000 85.000 36.000 0.000000
11.000 87.000 36.000 0.000000
11.000 89.000 36.000 0.000000
11.000 91.000 36.000 0.000000
11.000 93.000 36.000 0.000000
11.000 95.000 36.000 0.000000
11.000 97.000 36.000 0.000000
11.000 99.000 36.000 0.000000
11.000 101.000 36.000 0.000000
11.000 103.000 36.000 0.000000
11.000 105.000 36.000 0.000000
11.000 107.000 36.000 0.000000
11.000 109.000 36.000 0.000000
11.000 111.000 36.000 0.000000
11.000 113.000 36.000 0.000000
11.000 115.000 36.000 0.000000
13.000 1.000 36.000 0.000000
13.000 3.000 36.000 0.000000
13.000 5.000 36.000 0.000000
13.000 7.000 36.000 0.000000
13.000 9.000 36.000 0.000000
13.000 11.000 36.000 0.000000
13.000 13.000 36.000 0.000000
13.000 15.000 36.000 0.000000
13.000 17.000 36.000 0.000000
13.000 19.000 36.000 0.000000
13.000 21.000 36.000 0.000000
13.000 23.000 36.000 0.000000
13.000 25.000 36.000 0.000000
13.000 27.000 36.000 0.000000
13.000 29.000 36.000 0.000000
13.000 31.000 36.000 0.000000
13.000 33.000 36.000 0.000000
13.000 35.000 36.000 0.000000
13.000 37.000 36.000 0.000000
13.000 39.000 36.000 0.000000
13.000 41.000 36.000 0.000000
13.000 43.000 36.000 0.000000
13.000 45.000 36.000 0.000000
13.000 47.000 36.000 0.000000
13.000 49.000 36.000 0.000000
13.000 51.000 36.000 0.000000
13.000 53.000 36.000 0.000000
13.000 55.000 36.000 0.000000
13.000 57.000 36.000 0.000000
13.000 59.000 36.000 0.000000
13.000 61.000 36.000 0.000000
13.000 63.000 36.000 0.000000
13.000 65.000 36.000 0.000000
13.000 67.000 36.000 0.000000
13.000 69.000 36.000 0.000000
13.000 71.000 36.000 0.000000
13.000 73.000 36.000 0.000000
13.000 75.000 36.000 0.000000
13.000 77.000 36.000 0.000000
13.000 79.000 36.000 0.000000
13.000 81.000 36.000 0.000000
13.000 83.000 36.000 0.000000
13.000 85.000 36.000 0.000000
13.000 87.000 36.000 0.000000
13.000 89.000 36.000 0.000000
13.000 91.000 36.000 0.000000
13.000 93.000 36.000 0.000000
13.000 95.000 36.000 0.000000
13.000 97.000 36.000 0.000000
13.000 99.000 36.000 0.000000
13.000 101.000 36.000 0.000000
13.000 103.000 36.000 0.000000
13.000 105.000 36.000 0.000000
13.000 107.000 36.000 0.000000
13.000 109.000 36.000 0.000000
13.000 111.000 36.000 0.000000
